"Year","SpNDOI","FALLNDOI","SpX2","FallX2"
1956,54630.6304347826,13649.7802197802,NA,NA
1957,39145.3586956522,16121.5274725275,NA,NA
1958,114315.119565217,14044.5824175824,NA,NA
1959,15576.7282608696,7191.41758241758,NA,NA
1960,20896,7985.6043956044,NA,NA
1961,16837.7717391304,6034.25274725275,68.6080178060215,87.3216691639655
1962,31059.9673913043,22811.9010989011,60.8978488452709,73.1806243585674
1963,61246.5869565217,18758.9230769231,54.907517091119,71.7060604353745
1964,10697.1739130435,11562.5824175824,74.9883343627961,77.9113770286686
1965,38852.8695652174,18415.7472527473,62.4811959241945,70.5574609343142
1966,17689.5869565217,11617.3956043956,67.3150826038242,81.02564839515
1967,69431.3913043478,16494.6153846154,55.3784802950359,70.6312387614445
1968,19092.8369565217,7503.01098901099,70.2261283905082,82.3712493428291
1969,75884.8369565217,19874.2857142857,53.774372741448,68.9084919415583
1970,26086.5434782609,17991.4285714286,68.2015184771498,71.3335587379923
1971,31752.9130434783,15766.4395604396,62.0580914518318,69.2029899118681
1972,10299.4673913043,16072.2967032967,74.2732468225954,73.5431947700184
1973,37092.597826087,28232.4835164835,63.6350422966177,70.9449066441153
1974,70468.9130434783,21138.2417582418,57.1526591083436,66.1361280364135
1975,43479.4130434783,16089.4615384615,58.7874203923712,69.3451399366963
1976,6797.4347826087,3612.61538461538,81.3336349730002,89.5307729695948
1977,3301.36956521739,2912.57142857143,93.548835337314,96.140491050099
1978,62530.5,10736.043956044,56.4059083630872,77.5212840381816
1979,22083.75,8308.47252747253,66.16133700311,82.0013081785665
1980,49755.0760869565,7921.86813186813,59.2467268412426,77.721087154616
1981,15802.5,15192.5384615385,72.5078961089612,85.2172416761623
1982,92823.3913043478,29240.2417582418,NA,65.8477268875815
1983,161594.934782609,45803.5494505494,NA,60.7026312705083
1984,20275.7717391304,17088.4395604396,66.1203205759626,71.085435741402
1985,8196.71739130435,4464.40659340659,75.5071952904531,89.2684517172156
1986,77599.5434782609,9698.78021978022,NA,77.5663574438635
1987,11379.9782608696,3268.69230769231,75.3410265817159,91.5664329012929
1988,6802.61956521739,3994.48351648352,84.5910518424459,91.5825698786147
1989,19414.2391304348,5595.86813186813,72.080924343662,86.0827273386574
1990,5810.8152173913,3449.57142857143,87.8073553716001,91.4914798217328
1991,10790.5,3860.32967032967,81.7580232220275,91.7903573302206
1992,7613.13043478261,3951.89010989011,79.181668209171,93.184161676553
1993,44486.2934782609,5925.78021978022,60.1738893495461,83.9125449733189
1994,8903.4347826087,4676.87912087912,76.6629933779328,89.9015792303862
1995,130267.076086957,13108.7362637363,49.2834156163537,73.2652613151106
1996,59252.2391304348,7337.14285714286,55.1591650503374,82.4530456509209
1997,20176.6195652174,6261.57142857143,69.0561404734381,86.8474411015933
1998,86775.0326086956,17602.3516483516,51.1940308489656,69.8803443536612
1999,42350.4673913043,5294.02197802198,57.4774377238193,86.8804252030759
2000,45960.3043478261,5054.94505494505,59.9782579400166,85.9105299605718
2001,15149.2717391304,5537.26373626374,73.2152092834424,90.553257672974
2002,14183.9565217391,5223.75824175824,71.0701218596169,88.35032688585
2003,26639.7173913043,4800.07692307692,62.9098118523249,87.5135031732047
2004,30333.3913043478,6662.78021978022,64.4095461549573,85.262643579625
2005,39927.847826087,5497.50549450549,57.7270552432493,84.6513298378319
2006,124798.065217391,5693.81318681319,NA,83.0936624196412
2007,11566.1304347826,4158.40659340659,71.4952340246192,86.8764985398146
2008,9996.58695652174,4345.61538461538,74.4324833880903,90.0280128488254
2009,15993.0434782609,4984.16483516484,70.32830329603,87.298846105034
2010,20761.2391304348,6119.28571428571,65.6610021818927,85.6710535777192
2011,78677.2826086956,10864.3076923077,54.7343850327971,76.0351351181816
2012,20046.5434782609,5210.31868131868,67.5824558205998,84.559965294033
2013,10831.6195652174,5134.84615384615,75.4479347826087,85.1242857142857
2014,8273.96739130435,4454.74725274725,80.0567391304348,87.3868131868132
2015,6232.33695652174,4777.02197802198,81.1078260869565,85.917032967033
2016,32350.8695652174,7162.91208791209,66.4340217391304,82.8979120879121
2017,98739.6739130435,10429.1318681319,47.6669565217391,76.0554945054945
2018,27439.7717391304,6311.64835164835,67.8939130434783,83.821978021978
2019,85507.5434782609,10855.021978022,52.1025,75.3448351648352
2020,10242.0652173913,4271.6,76.3501086956522,87.1333333333333
