zoopBPUE,Year,chla,secchi,temp,Index
15811.74,1975.00,7.90,30.57,17.63,697.00
10084.67,1976.00,4.16,65.60,18.38,359.00
28191.10,1977.00,3.42,76.16,19.00,480.00
13876.73,1978.00,22.25,31.90,18.90,572.00
18943.48,1980.00,17.98,31.47,17.00,1654.00
13811.39,1981.00,10.64,45.18,18.17,374.00
17737.07,1982.00,15.47,31.19,17.55,333.00
14389.73,1983.00,3.61,40.59,18.39,132.00
9939.89,1984.00,15.33,38.50,20.00,182.00
11442.79,1985.00,4.35,71.05,16.60,110.00
10856.80,1986.00,7.33,39.40,17.10,212.00
1418.73,1987.00,1.40,56.86,18.61,280.00
1701.99,1988.00,1.10,40.32,18.64,174.00
8413.20,1989.00,1.41,51.92,18.48,366.00
5890.19,1990.00,1.80,61.00,18.60,364.00
2497.84,1991.00,1.49,54.48,19.36,689.00
3167.94,1992.00,1.27,65.44,19.80,156.00
3788.26,1993.00,0.73,58.80,18.93,1078.00
3917.21,1994.00,0.97,56.60,17.15,102.00
5446.12,1995.00,1.46,42.53,18.33,899.00
3810.93,1996.00,1.20,43.44,17.17,127.00
6772.26,1997.00,0.92,58.00,19.35,303.00
10436.84,1998.00,3.36,26.67,17.60,420.00
10498.56,1999.00,3.86,41.67,17.58,864.00
7969.80,2000.00,2.60,44.71,17.82,756.00
5606.02,2001.00,1.64,53.25,18.22,603.00
9115.81,2002.00,1.93,46.40,17.82,139.00
6461.15,2003.00,1.96,59.27,18.60,210.00
6566.66,2004.00,1.25,59.58,17.22,74.00
5604.08,2005.00,1.61,57.67,16.93,26.00
5175.35,2006.00,1.61,44.54,17.49,41.00
5523.30,2007.00,1.15,71.58,17.36,28.00
6461.72,2008.00,2.07,78.83,19.08,23.00
6259.08,2009.00,1.21,64.18,17.85,17.00
6792.36,2010.00,2.26,70.58,18.21,29.00
8260.32,2011.00,1.94,56.92,17.89,343.00
8959.34,2012.00,1.90,68.50,18.36,42.00
8052.24,2013.00,1.57,61.17,17.57,18.00
6669.72,2014.00,1.67,67.33,19.80,9.00
8423.00,2015.00,1.85,75.08,19.53,7.00
12354.82,2016.00,1.75,66.17,17.95,8.00
16756.77,2017.00,1.85,52.33,17.91,2.00
12299.80,2018.00,2.13,76.77,17.13,0.00
